start	end	text
0	3760	ちょっとね外気浴行ってきたんですよ
3760	6500	外気浴行ってきたってあんまり言わないけど
6500	8360	確かに
8360	10300	やっぱねちょっと一発目なんで
10300	13860	サウナ行って外気浴してから撮ろうかなと思って
13860	15620	気合が入ってる
15620	16680	気合入れてきました
16680	21680	今日はね近所の五甲湯で
21680	23180	わーいいなー
23180	24680	京都のね
24680	25700	羨ましい
25700	31840	五甲湯最近サウナの中の木を
31840	35740	椅子とか背もたれの木を入れ替えてて
35740	36840	新しくしてて
36840	39180	すごいねヒノキの香りが
39180	41840	すごい良かったです
41840	43220	わーいいなー
43220	44360	なんかあんまりないね
44360	47400	新しい椅子に取り替えるタイミングとか
47400	48440	出会ったことないな
48440	51440	なんかね白山湯とかも
51440	54060	年末年始に必ず
54060	55220	あそこのおっちゃんが
55700	57200	取り替えてるみたいなんですよね
57200	60180	あ結構あるんだそういう普通に
60180	61660	五甲湯はね
61660	64620	多分だいぶやってなかったんだと思う
64620	65900	結構
65900	68020	なんかあそこ独特の匂いが
68020	70400	苦手だったんですけど
70400	71060	うんうん
71060	74640	今日行ったらすごいいい香りで良かったな
74640	76840	いいなー
76840	77140	今日
77140	79280	直近
79280	82320	ジムのサウナにしか行けてないな
82320	83840	うん
83840	83860	うん
83860	84840	うん
85700	86700	あでもあれか
86700	88360	いや直近行ってないって言っても
88360	90700	先週創価健康センター行ってたわ
90700	92460	あーめちゃめちゃ行ってるじゃないですか
92460	94660	行ったのになんか
94660	96380	この数日行ってないだけで
96380	98180	そんな気分になってたわ
98180	100320	でもいいね
100320	101580	ヒノキの香りか
101580	105240	昨日は
105240	107460	これちょっとあれなんですけど
107460	109700	いけすかない感じのエピソードですけど
109700	111720	リッツカールトンの
111720	113900	サウナに行ってきたんですよ
113900	115460	ははははは
115700	117460	いいね
117460	119640	ちょっと調べていい京都の
119640	121600	えっとね大阪の
121600	124340	あー
124340	126180	大阪のリッツカールトンどこやったっけ
126180	127140	道島の方
127140	130100	あそうそうそう道島の方
130100	133820	あの元々キャンプに行こうと思ってたんですけど
133820	136660	ちょっと前にキャンプに行こうって思って調べたら
136660	138840	もう全然どこもやってなくって
138840	139900	うんうんうんうん
139900	142900	ほんでキャンプからなぜか1点
142900	145540	都会の高級ホテルに
145540	149020	ちょっと泊まりに行こうみたいになって
149020	150040	はいはい
150040	150460	うん
150460	155340	サウナとかの結構あるのここ
155340	156400	どこだ
156400	158400	元々ねプールに行こうと思ってたんですよ
158400	161040	今年の夏ちょっとプール行けなかったなーっつってて
161040	162040	うんうん
162040	164100	でもう夏も終わっちゃったけど
164100	165440	なんかどうにか
165440	167560	どうにかプールに行こうと思ってて
167560	168220	はいはい
168220	170620	で室内プールで良さそうなところを探して
170620	172400	はいはい
172400	174660	えっ今サイト見てるんだけどさ
174660	175360	うんうんうんうん
175540	176920	サウナとか書いてないんだけど
176920	180100	あったフィットネスセンターに
180100	180760	サウナがあった
180760	183440	はいはいはい
183440	185860	なんか違いがあった
185860	186660	いや
186660	190720	そんなにめちゃくちゃ良かったかというと
190720	192520	人が少なくて良かったな
192520	193300	って感じですね
193300	195420	あとね
195420	198120	一応というかちゃんとしたストーブ
198120	200240	使っててメトスのストーブだったんで
200240	202280	でもものすごい
202280	202920	狭いんですよ
202920	205440	2人入れぐらい
205440	207760	そこにさ
207760	210580	メトスのちゃんとしたストーブ入れてるもんだから
210580	212560	めちゃめちゃ暑くて
212560	216540	結構舐めてたんですけど
216540	218760	100度余裕で超えてて
218760	221040	それはいいね
221040	223480	水風呂も多分
223480	226160	ちゃんとしたチラ使ってるんだと思うんですけど
