start	end	text
0	920	もう撮ってんの
920	3220	もうずっと撮ってますよ
3220	3960	あそうか
3960	6200	やりますかじゃあ
6200	7000	やりましょう
7000	10180	年末ですねもうちょっとで
10180	11160	クリスマスか
11160	12720	クリスマスですよ
12720	16600	まさかサンタさんの後にこれをやるとは
16600	20060	今ねサンタさんやってから来たってことですね
20060	21300	やってから来ました
21300	26060	寝るときにちゃんと寝ないと
26060	28880	サンタさん来ないよみたいな話をしてて
28880	31840	ちゃんと手紙を書いてたんだよね娘は
31840	35000	手紙を書いてて欲しいものがあって
35000	37400	去年はその手紙がなくなってて
37400	40820	プレゼントだけ置いてあったって言ってて
40820	43560	あなるほど去年の
43560	45360	俺らはそうしたんだと思って
45360	48380	手紙ちゃんと書くそうと思って
48380	51200	教えてもらった
51200	53960	違う人かと思われちゃうから
53960	54740	そうそうそう
54740	57140	同じサンタさんだって思われないといけないので
57140	58840	やってきました
58840	60300	そんな24日ですね
60300	63460	最初私いいですか
63460	65400	話したいことがあって
65400	68040	前週か
68040	71460	もう仕事重いのが終わったので
71460	73320	木曜日に終わって
73320	74640	その夜そのまま
74640	76400	四季寺に久々に行ってきました
76400	78740	結構遠くまで行きました
78740	79980	行きました
79980	83820	半年に1回くらいは今のところ
83820	86000	この2年くらいは行けてる
86000	88640	やっぱもう最近すごく混んでる
88840	89740	のね
89740	95620	木曜の夜の8時ぐらいに静岡に着いて
95620	97780	実際に敷地行ったの9時とか
97780	100420	もうちょっと遅いぐらいだったんだけど
100420	102500	しっかり混んでて
102500	104900	なんか入るのに並んだりするんですか
104900	107240	いやそんなことはなかった
107240	109240	僕前行った時になんか並びまして
109240	110200	並んだっていうか
110200	112440	1時間待ちとか言われた
112440	114280	それどこで待たされるの
114280	116640	いやだから待つとこないから
116640	117980	ないよね
117980	118840	近くでウロウロしてるんですけど
118840	119820	車で来てる人たちもいましたけど
119820	122100	車で来てる人は車で待ってましたけど
122100	124620	そもそも施設に入れないっていう
124620	127220	そうそうそう最初の入り口のところで
127220	129440	しかもその時雨降ってたから
129440	132140	もう最悪でしたね
132140	134840	電車で行ってたその時は
134840	136540	新幹線で行って
136540	138200	そっからタクシーですね
138200	140600	じゃあもうすることないね
140600	140840	そう
140840	143240	あの周りなんもないしね
143240	144720	呪い石しかないから
144720	146580	何でしたっけそれ
146580	147960	遺跡があるんだよ
147960	148820	敷地に
148840	151740	敷地の近くに縄文時代の人たちが住んでた
151740	155320	じゃあそこで時間を潰すのが正解なんですか
155320	158900	いや雨だとちょっときついかも
158900	162040	すいませんまあいいや
162040	164640	で行ってみて
164640	167060	初日ははい良かったなっていうので
167060	168480	そのまま寝て
168480	170960	次の日のまた昼に行ったね
170960	174980	12時か13時ぐらいに行って
174980	176720	しっかり3回
176720	177580	4回か
177580	178800	友人は4回
178840	181120	俺は3回しっかりサウナ入って
181120	183760	水風呂入ってっていうのを繰り返した
183760	186540	ちょうど15時のタイミングで
186540	190120	敷地の水風呂の入れ替えの時間だったらしくて
190120	191400	で
191400	192260	あの
192260	195140	店員さんが2人入ってきて
195140	198820	水風呂を抜き始めたのね
198820	203720	でその水をこう吸って外に出すんだよね
203720	204460	あの
204460	206120	水がなんていうの
206120	208400	お風呂みたいに下から抜けるんじゃなくて
208840	210120	水を吸って
210120	213040	あそこって
213040	215200	外気浴というか
215200	216580	してる人たちもいるじゃん
216580	218760	水風呂の目の前とかで椅子に
218760	219960	外じゃないけど
219960	222340	椅子ありますね
222340	225080	あそこの下に水がブワーって流れるわけよ
225080	226540	で
226540	231000	2人ぐらいがやり始めてたら
231000	233440	裸の
233440	235520	もちろんみんな裸なんだけど
235520	237480	おじいちゃんが
237480	237800	あの
237800	240800	早速とその水風呂の中に入ってって
240800	241520	あの
241520	244240	桶で水をこう捨て始めたんだよね
244240	246760	水は入ってるの
246760	248600	もちろん
248600	251160	最初に水風呂は入ってある状態で
251160	253860	そこから全部抜く作業をしだしするんだよ
253860	255380	あー抜いてる途中にってこと
255380	257780	抜いてる途中に水風呂入って
257780	259420	水をこう捨ててくのよ
259420	259980	でも
259980	263400	そのタイミングでサウナから上がってくる人たちが
263400	264780	ちょっと困惑してるわけよ
264780	266240	当たり前だけど水なくなってるから
266240	266600	そうですね
266600	267780	そうそしたら
267800	269680	マッパの白髪のおじいちゃんが
269680	271380	あー大丈夫だよ入れ入れって言って
271380	272540	入れるんだけど
272540	274280	そのおじいちゃんは水捨ててるんだよ
274280	275280	わさわさと
275280	278680	なんだこの光景と思って
278680	282080	店員さん2人は当然Tシャツとハーパンでやってるんだけど
282080	285080	1人裸のおじいちゃんがめっちゃ手伝ってるのね
285080	286160	それは
286160	289880	お店の人はいつものことやなみたいな
289880	292580	いやもうマジでいつも通りだなっていう感じで
292580	293040	そうなんです
293040	294480	なんだったら
294480	296440	店員さんに指示してるぐらいだったから
296440	297520	本当に中の人じゃない?
297800	298640	かなと思うんだけど
298640	300840	ちょっとよくわかんないんだけど
300840	302960	このおじいちゃんすごいなと思って
302960	305920	こっちとしては水風呂も終わってたから
305920	312000	気にせずに隣の風呂にゆっくり湯船に浸かってたんだけど
312000	316040	そのおじいちゃん水風呂とかの整理が終わって
316040	319040	なんか風呂を洗ってる
319040	322420	店員さんたちが洗い始めた時とかも
322420	326240	横で同じように一緒に洗って手伝ってて
326240	327620	すげーなと思って
327800	330040	すごいな働いてますね
330040	330960	うん働いてる
330960	333240	働いてる面白いなと思って見てたら
333240	334240	そのおじいちゃん見てたら
334240	336620	今度は薬草サウナあるじゃないですか
336620	337320	右側に
337320	338900	普通に左にサウナ
338900	341460	右側に薬草サウナが並んでて
341460	344240	その薬草サウナのところの
344240	346480	換気とかも結構しだしてて
346480	348640	本当にお店の人なんじゃないですか
348640	350360	いやでも
350360	353320	店の人じゃないと思うんだよ
353320	356640	そう
356640	357780	まあ
357800	360040	店の人だったら裸で働かないか
360040	361520	いやそうだよ
361520	363100	おじいちゃんとはいえ
363100	366400	お店の人ならさすがに
366400	368960	ねえ関心隠してやってほしくてさ
368960	371340	どうしてもやっぱ
371340	374080	一般の人で会ってほしい気持ちがあって
374080	378080	真偽のほどは確かじゃないんだけど
378080	381060	薬草風呂のところもこうブワーって開けて
381060	383500	モクモクモクって煙ブワーって出て
383500	384380	上の方で
384380	387240	中ちょっと見たり上見たりして
387240	389760	ちょうど良さそうだなみたいな顔して
389760	391900	バッサバッサってなってから
391900	392860	開け閉めして
392860	395140	そうまた入ってったりとか
395140	398200	入ってくからやっぱサウナは楽しいんだよなと思って
398200	399160	うん
