start	end	text
0	3880	こんにちは、大希翼FMです。 今日もよろしくお願いします。
3880	7240	よろしくお願いします。 いや、帰ってきましたよ。
7240	9320	無事京都から。 京都から。
9320	18360	はい。6月の金曜と土曜の3、4を使って、 京都の秀滝くんのところにお邪魔してきました。
18360	22640	いやー、楽しかったですね。 いや、めちゃめちゃ楽しかった。
22640	26020	いやー、楽しかったなぁ。 なんかもう、
26020	31840	週明けからの仕事がもう、憂鬱でしょうかないよ。 楽しすぎて。
31840	37080	でも、結構その金曜日の夜から遊んだじゃないですか。
37080	41040	まあ、星川さんたちは金曜日休み取ってきてましたけど、
41040	46160	僕は金曜日仕事して、仕事終わり、もう6時に上がって。
46160	49400	はい、ありがとうございます。 遊んで。
49400	52760	なんか、結構6時に上がって遊ぶと、
52760	57520	もうなんか、なんでしょうね、その日休みだった感ありますよ。
57520	62840	あー、それいいね。めちゃめちゃいい気づきやね。なるほど。
62840	69240	だからね、この普通の週末でしたけど、今3連休終わったところみたいな気持ちですね。
69240	74280	あー、それすごくいいね。 金曜日しっかり遊ぶっていう。
74280	76280	そう。 ああ、なるほど。
76280	80040	ねえ、遊ぶ人がいればいいんですけど。
80040	83240	暗い話しすな。
83240	88960	でも確かに、最近はそれこそコロナもあってさ、
88960	93640	金曜の花禁を楽しむってことってほぼないじゃないですか。
93640	96440	ほぼっていうか、もう全くないな。
96440	102200	なんか、そこから思い返すと、今まではそんな気にはしてないで金曜遊んでたけど、
102200	106240	ちょっと落ち着いて金曜遊んでみると、なんかいいのかもしれないね。
106240	108720	しっかり充実した時間が過ごせる気がする。
108720	110040	いやー、そうなんですよね。
110040	115360	あと、遊び方もよかったなって思うのが、金曜の夜みんなで飲んで、
115360	119640	で、土曜の朝にまたサウナの予定を入れたじゃん。
119640	125400	だから、金曜の夜グダグダ飲んで、土曜昼まで寝るみたいな感じじゃないのもよかったんじゃない?
125400	127400	あー、確かに。
127400	134040	土曜にちゃんとこう、罵倒を渡せた金曜の夜だったから、そこがよかったんじゃないかなって。
134040	138360	しかも土曜の朝の、そこがメインでしたからね。
138360	140080	あー、確かに確かに。
140080	145600	うん、ちょっと金曜日のところから、どんな感じだったんですか?
145600	156760	あ、そうですね。金曜の、友人と2人で9時に東京駅に集合してから、もう直行京都ですね。
156760	161680	で、京都行くまでは遊んだりなんだりヘラヘラしてたんですけど、
161680	165240	京都駅着いたらすぐにタクシー乗って、行きました、ルーマプラザ。
165240	166680	お、行きましたか。
166680	172280	行きましたよ、ほんとに。ずっとおすすめされてたので、一度は行ったほうがいいかなと。
172280	178800	で、もうあんな祇園の、ま、ほんとに、あの通りのとこでしたね、八坂神社からこうまっすぐ行くところの。
178800	180000	そうそうそうそう。
180000	183200	知らなかった、何回も通ってるわ、あそこ。
183200	184320	全然気づかなかった。
184320	188600	花見工事の横とかですからね、もう結構祇園のど真ん中ですよ。
188600	191440	うん、ど真ん中だったね。
191440	196960	なんか、あとあとちょっと考えたら、花見工事とか、そもそも見に行くべきだったなって思ったよ。
196960	198000	あー。
198000	204560	これだけ外国人がいなくて、あの、たぶん人のいない京都を楽しめたんじゃないかなって後から思ったけど。
204560	205960	たしかに、平日ですしね。
205960	208080	そうそうそうそうそう。
208080	214520	まあ、そんな楽しさも全部一旦置いて、ルーマプラザに行ってきましたけど、いや、よかったねー。
214520	215720	いいでしょ、あそこ。
215720	218000	いや、すごかったわ。
218000	225000	うーん、3回やらせてもらったけど、やっぱあの屋上がすごいね。
225000	226000	ね。
226000	238240	うーん、やっぱり屋上に外記憶できるスペース、その上からまた、ね、眺めたら八坂神社見えちゃうからね。
238240	240160	そうですね、ちょっと覗き込むというかね。
240160	244480	そう、ちょっと覗き込めるし、あと天気がすごくよかった。
244480	252120	暑すぎですね、うーん、なんか焼けるような暑さでもなかったので、とても気持ちよかった。
252120	258280	たまに吹く風で、結構、朝はいかれましたね、完全に。
258280	260520	いやー、そこね、風もいいですよね。
260520	263920	風いいー、上見てたらトンビとか飛んでたしね。
263920	267720	あ、そう、だいたいなんか飛んでますね、鳥とか、まあ飛行機も見えますし。
267720	270560	あ、そうそうそうそう、京都ね、たまにトンビ飛んでるよね。
270560	271240	そうですね。
271240	273760	あれがいいんだよ。
273760	279040	昔、昔でもない、去年か、トンビ狙われたことありましたよ。
279040	283560	外でおにぎりかなんか食べてたら、トンビがブワーって降りてきて、目の前通って。
283560	285280	こわいこわい。
285280	291040	ははは、それ、めちゃめちゃこわいね。
291040	292040	うん。
292040	297000	僕、トンビネタ実はあって、全然かけないといけない、全然かけなくてごめんね。
297000	305400	娘が3歳のときに、三重県の海辺でバナナ食ってて、トンビにとられました、娘。
305400	306800	いや、あれけっこうこわいですよね。
306800	311560	いや、めちゃめちゃこわい。しかも上手にとんのね。
311560	315400	誰も傷つけることなく、バナナだけ持ってかれたよ。
315400	316320	なかなかすごい。
316320	320960	いや、でもなんかそんなのを見ながらさ、外気よくできるってなかなかないから。
320960	325160	いや、いいですよね。で、京都、やっぱね、高い建物がないから。
325160	327160	あー、そこだよね。
327160	328160	ほんとに。
328160	330480	ほんとに空しか見えないですもんね、あそこから。
330480	334960	うーん、高い建物ないってほんとそうだね。
334960	344880	なんか、前ちょっと前に言った池袋のカルマルとかって、けっこうあの高層ビルの上の方から入るサウナみたいな感じだけど、
344880	347200	周りビルとかなのね、やっぱ。
347200	349200	当たり前だけど。
349200	355840	うん、すごく高いところでもやっぱり外の景色がどう見えるかっていうのは、けっこう大きな差になってくるんだなって思ったよ。
355840	359600	そうですよね。あんなに空が広いのはないですよね。
359600	361600	なかなかないね。
361600	363600	すごくよかったな。
363600	368920	なんか、なんだろうな、まあもちろんサウナもいいんだけど、塩サウナもあるよね、屋上に。
368920	370040	あ、屋上にありますね。
370040	376840	うん、珍しいパターン。屋上にサウナってけっこう、あの、建築基準法で難しいことが多いんだけどね。
376840	378080	あ、そうなんですね。
378080	381360	そうなんですよ。あの、耐火需要の問題だったりもあって。
381360	386680	うん、でもまあまあきっといけてるんでしょうね、こうやって代々的にやってるってことは。
386680	393440	で、同校した僕の友達、友人のしずくんも、すごく明るいサウナがよかったと。
393440	394960	うん。
394960	399360	なんか珍しい、塩サウナ2階入ってたからね、あの子。
399360	400160	ハマってた。
400160	403840	そうかそうか、塩サウナ僕あんまり行かないな。
403840	404600	あ、ほんと。
404600	410840	でも確かにあそこって塩サウナ、あの屋上にサウナもあるし水風呂もあるんですよね。
410840	411880	あ、そうだね、あるね。
411880	414920	うん、ちょっとぬるめの温度の高めの水風呂です。
414920	417400	でもあそこで完結したら最高ですよ。
417400	421000	うん、そうだね、それは言えてる。
421000	431280	ちょっとね、本場の、本場というか、あのロッキーサウナの方がね、1個下にあるから、そっちでサウナ入って水風呂入って、で、あの螺旋階段上がっていくのちょっとめんどくさいんですよ。
431280	433120	ちょっとめんどくさいね。
433120	436080	確かに上だけで完結するっていうのはいいね。
436080	436760	うん。
436760	442040	うん、なんか塩サウナって結構多いのは、あの泥パックと一緒になってることが多いよね。
442040	442960	あー。
442960	453320	あの、顔に泥のやつ塗って、そのまま放置して、で、塩も体に塗って、時間かけて洗うみたいなのが多いけど。
453320	465120	まあ特に泥はなかったけど、厚さがなんか普通の塩サウナよりも、僕がよく行く塩サウナとかとは全然しっかり、あの、厚かったから、めちゃめちゃ良かったな。
465120	469240	あとすごいびっくりしたのは、あの屋上に喫煙所があることね。
469240	471520	あ、そうですね。喫煙所にとってはね。
471520	473000	ゆーたけは反対派だっけ?
473000	479800	そう、僕はね、ちょっと、あの、署名を集めて、あの、送りたいぐらいですね。あそこ撤去してくれて。
